Materials	Properties	feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9	feature10	feature11	feature12	feature13	feature14	feature15	feature16	feature17	feature18	feature19	feature20
sample11	13.3700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6500	0.0816	0.2888	0.7326	0.2787	0.2840	0.7420	0.2725	0.2414	0.4465
sample12	21.4100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8143	0.0665	0.9532	0.7326	0.3294	0.2469	0.7895	0.1622	0.5281	0.4917
sample13	4.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4500	0.1548	0.3291	0.6395	0.2762	0.4784	0.6582	0.7416	0.4764	0.8877
sample14	11.2800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6143	0.1433	0.3081	0.6395	0.3738	0.5525	0.6952	0.7365	0.4727	0.8694
sample15	7.5300	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7500	0.2666	0.2549	0.6395	0.4727	0.4784	0.7449	0.7952	0.4691	0.8824
sample16	6.1400	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3714	0.0919	0.2325	0.3605	0.2420	0.3148	0.5952	0.8432	0.6295	0.9044
sample17	5.9800	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4214	0.0623	0.2190	0.3605	0.3066	0.3642	0.5939	0.8468	0.6448	0.9019
sample18	6.9700	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4429	0.0695	0.1691	0.3605	0.3713	0.3148	0.5709	0.8784	0.6772	0.9627
sample19	4.3900	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.5429	0.0883	0.4680	0.3605	0.2863	0.5309	0.7315	0.8098	0.4347	0.8950
sample20	3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6667	0.0000	0.0000	0.0000	0.7714	0.1336	0.4911	0.3605	0.3966	0.6142	0.8847	0.8193	0.4503	0.8941
sample21	7.3500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	1.0000	0.1433	0.2705	0.3605	0.5056	0.5309	1.0000	0.8137	0.4018	0.8950
sample22	4.0600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.0000	0.3714	0.0580	0.2178	0.4070	0.2344	0.2778	0.6643	0.8617	0.6011	0.8797
sample23	4.8100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	0.4786	0.0738	0.2146	0.6395	0.2217	0.2160	0.6201	0.8190	0.5710	0.9059
sample24	10.0200	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9929	0.1584	0.0180	0.7326	0.3738	0.0309	0.9363	0.1619	0.0233	0.3806
sample25	19.2500	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.1088	0.1450	0.7326	0.4372	0.2778	0.8694	0.1220	0.2779	0.3432
sample26	23.0500	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.0689	0.2489	0.7326	0.4892	0.5309	0.9928	0.0463	0.3841	0.3823
sample27	29.7700	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9786	0.1040	0.2464	0.7326	0.4245	0.2160	0.8665	0.0000	0.2919	0.4508
sample28	33.6600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7786	0.0617	0.1566	1.0000	0.3332	0.2315	0.7408	0.2647	0.0000	0.0000
sample29	22.1800	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9571	0.0961	0.2027	0.7326	0.4283	0.2315	0.8208	0.5504	0.3793	0.6365
sample30	12.6200	0.0000	0.0000	0.0000	0.0000	0.0000	0.5000	0.0000	0.0000	0.0000	0.0000	0.9429	0.0762	0.0227	0.7326	0.3928	0.0340	0.7809	0.3458	0.1949	0.6730
sample31	5.6500	0.0000	0.0000	0.0000	0.0000	0.2500	0.0000	0.0000	0.0000	0.0000	0.0000	0.3929	0.1119	0.5163	0.3372	0.3840	1.0000	0.6596	0.8761	0.5826	0.9323
sample32	24.5500	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9286	0.4377	0.0945	0.7326	0.4752	0.2685	0.8121	0.7992	0.4186	0.8769
sample33	1.0400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4929	0.0846	0.3589	0.7326	0.2280	0.5000	0.5399	0.4288	0.8637	0.1782
sample34	15.7600	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6214	0.1711	0.3252	0.7326	0.3269	0.4599	0.7200	0.4400	0.4984	0.6281
sample35	15.4600	0.0000	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4857	0.1155	0.2256	1.0000	0.2280	0.2284	0.6697	0.6464	0.2775	0.7432
sample36	9.5400	0.0000	0.0000	0.0000	0.3333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5071	0.1814	0.2932	0.6395	0.3409	0.4753	0.6417	0.7035	0.4703	0.8753
